Player,Pos,Squad,IsolationForest_Outlier,LOF_Outlier,Both_Methods_Outlier,LOF_Score
Kamaldeen Sulemana,FW,Southampton,False,False,False,1.2330453048942105
Kaoru Mitoma,FW,Brighton,False,False,False,1.0684841050086118
Kasey McAteer,FW,Leicester City,False,False,False,1.099527333074651
Keane Lewis-Potter,DF,Brentford,False,False,False,1.169513516143392
Kenny Tete,DF,Fulham,False,False,False,1.096161412428805
Kepa Arrizabalaga,GK,Bournemouth,False,False,False,1.1705456271471903
Kevin Danso,DF,Tottenham,False,False,False,1.0998186289183
Kevin De Bruyne,MF,Manchester City,True,False,False,1.2144459278469872
Kevin Schade,FW,Brentford,False,False,False,1.152213737329061
Kieran Tierney,DF,Arsenal,False,False,False,1.2442921528603086
Kieran Trippier,DF,Newcastle Utd,False,True,False,2.6718702624766175
Kiernan Dewsbury-Hall,MF,Chelsea,False,False,False,1.4725768378137296
Kim Jisoo,DF,Brentford,False,False,False,1.0023730577981866
Kobbie Mainoo,MF,Manchester Utd,False,False,False,1.0823636008826751
Konstantinos Mavropanos,DF,West Ham,False,False,False,1.1855764834576616
Kosta Nedeljković,DF,Aston Villa,False,True,False,1.8976111025670046
Kostas Tsimikas,DF,Liverpool,False,False,False,1.2395777552230247
Kristoffer Ajer,DF,Brentford,False,False,False,1.0624538504164556
Kyle Walker,DF,Manchester City,False,False,False,1.1050588116058953
Kyle Walker-Peters,DF,Southampton,False,False,False,1.0971472808777911
Lamare Bogarde,DF,Aston Villa,False,False,False,1.1126364726078888
Leandro Trossard,FW,Arsenal,False,False,False,1.0481497312946144
Leif Davis,DF,Ipswich Town,True,False,False,1.353302395882111
Leny Yoro,DF,Manchester Utd,False,False,False,1.1000019107765726
Leon Bailey,FW,Aston Villa,False,False,False,1.158440999203131
Lesley Ugochukwu,MF,Southampton,False,False,False,1.0745353825440955
Levi Colwill,DF,Chelsea,True,False,False,1.118056487605397
Lewis Cook,MF,Bournemouth,True,False,False,1.2252638677698093
Lewis Dunk,DF,Brighton,False,False,False,1.0767092941392575
Lewis Hall,DF,Newcastle Utd,True,False,False,1.17478235527635
Lewis Miley,MF,Newcastle Utd,False,False,False,1.0459708358317434
Lewis Orford,MF,West Ham,False,False,False,0.9839928121735987
Liam Delap,FW,Ipswich Town,False,False,False,1.260285649075973
Lisandro Martínez,DF,Manchester Utd,False,False,False,1.0191292165081254
Lloyd Kelly,DF,Newcastle Utd,False,False,False,1.1512622158186963
Lucas Bergvall,MF,Tottenham,False,False,False,1.0973584234413847
Lucas Digne,DF,Aston Villa,False,False,False,1.1718710228026417
