antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low', 'passing_xAG_category=Low'})","frozenset({'passing_Ast_category=Low', 'shooting_Expected_xG_category=Low'})",0.25435540069686413,0.30139372822299654,0.22996515679442509,0.9041095890410958,2.9997624515005143,1.0,0.15330403428474304,7.2854654056744605,0.8940455961483998,0.7058823529411765,0.8627404092508456,0.8335576846939583
"frozenset({'passing_Ast_category=High', 'shooting_Standard_Gls_category=High', 'shooting_Expected_xG_category=High'})",frozenset({'passing_xAG_category=High'}),0.18118466898954705,0.313588850174216,0.16376306620209058,0.9038461538461537,2.8822649572649572,1.0,0.10694557418446259,7.138675958188146,0.7975554549569941,0.49473684210526314,0.8599180007809448,0.7130341880341879
"frozenset({'passing_xAG_category=High', 'passing_Ast_category=High', 'shooting_Expected_xG_category=High'})",frozenset({'shooting_Standard_Gls_category=High'}),0.18118466898954705,0.3153310104529617,0.16376306620209058,0.9038461538461537,2.8663408414789626,1.0,0.10662992145103131,7.120557491289191,0.7952014486192847,0.49214659685863865,0.8595615580348404,0.7115915852103696
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_xAG_category=Low'})","frozenset({'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low', 'shooting_Expected_xG_category=Low'})",0.25609756097560976,0.29442508710801396,0.22996515679442509,0.8979591836734694,3.049873203719357,1.0,0.15456361009603126,6.914634146341463,0.9035022354694485,0.717391304347826,0.855379188712522,0.8395121362154329
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_xAG_category=Low'})","frozenset({'passing_Ast_category=Low', 'shooting_Expected_xG_category=Low'})",0.25609756097560976,0.30139372822299654,0.22996515679442509,0.8979591836734694,2.9793559042113955,1.0,0.15277895810316988,6.846341463414634,0.893070044709389,0.7021276595744679,0.8539365871036695,0.8304824820101451
"frozenset({'passing_Ast_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'passing_xAG_category=Low'}),0.30139372822299654,0.37456445993031356,0.2700348432055749,0.8959537572254335,2.391988170453018,1.0,0.1571434641673445,6.011130468447539,0.8329981497868234,0.6652360515021459,0.8336419405220022,0.8084419948917865
"frozenset({'shooting_Standard_SoT%_category=High', 'shooting_Expected_xG_category=High'})",frozenset({'shooting_Standard_Gls_category=High'}),0.18118466898954705,0.3153310104529617,0.16202090592334495,0.8942307692307692,2.8358478538036547,1.0,0.10488776117228568,6.473234082990177,0.790619995424388,0.48437499999999994,0.8455177138383244,0.7040214619634508
"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low'})",frozenset({'shooting_Expected_xG_category=Low'}),0.2787456445993031,0.343205574912892,0.24912891986062718,0.89375,2.6041243654822335,1.0,0.15346186065145867,6.181594589055138,0.8540589844937669,0.6682242990654206,0.8382294429708224,0.8098191624365483
"frozenset({'passing_Ast_category=Low', 'shooting_Expected_xG_category=Low'})","frozenset({'shooting_Standard_Gls_category=Low', 'passing_xAG_category=Low'})",0.30139372822299654,0.3310104529616725,0.2682926829268293,0.8901734104046243,2.6892607240644963,1.0,0.16852820842792798,6.091325875664772,0.899148233312822,0.736842105263158,0.8358321290944122,0.850349863097049
"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low'})",frozenset({'passing_xAG_category=Low'}),0.2787456445993031,0.37456445993031356,0.24738675958188153,0.8875000000000001,2.369418604651163,1.0,0.14297854775461644,5.559427022841661,0.8013199972783561,0.6094420600858369,0.820125348189415,0.773982558139535
"frozenset({'passing_Ast_category=High', 'shooting_Standard_Gls_category=High'})",frozenset({'passing_xAG_category=High'}),0.19686411149825783,0.313588850174216,0.17421602787456447,0.8849557522123894,2.8220255653883974,1.0,0.11248163750925713,5.966496917716432,0.8039045553145336,0.5181347150259069,0.8323974664210952,0.7202556538839725
"frozenset({'passing_Ast_category=Low', 'passing_xAG_category=Low'})",frozenset({'shooting_Standard_Gls_category=Low'}),0.3623693379790941,0.5261324041811847,0.3205574912891986,0.8846153846153845,1.681355068772287,1.0,0.12990324029671352,4.106852497096394,0.6355428842955569,0.5644171779141104,0.7565045248868775,0.7469434538970962
frozenset({'passing_xAG_category=Low'}),frozenset({'shooting_Standard_Gls_category=Low'}),0.37456445993031356,0.5261324041811847,0.3310104529616725,0.8837209302325582,1.679655013091021,1.0,0.1339399531377096,4.075261324041812,0.6469725846650051,0.5810397553516818,0.7546169630642955,0.7564300015401202
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low'})","frozenset({'shooting_Standard_Gls_category=Low', 'shooting_Expected_xG_category=Low'})",0.28222996515679444,0.3344947735191638,0.24912891986062718,0.8827160493827161,2.6389531893004112,1.0,0.15472447158518374,5.674307720520815,0.865265802159006,0.6777251184834123,0.8237670480253377,0.8137538580246914
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low'})",frozenset({'shooting_Expected_xG_category=Low'}),0.28222996515679444,0.343205574912892,0.24912891986062718,0.8827160493827161,2.5719746819577614,1.0,0.15226602241134407,5.600036677058502,0.8515174146242107,0.662037037037037,0.8214297409699708,0.8043021871279062
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low'})",frozenset({'passing_xAG_category=Low'}),0.28222996515679444,0.37456445993031356,0.24912891986062718,0.8827160493827161,2.35664656904967,1.0,0.14341560538552126,5.33266092059417,0.8020232194989476,0.611111111111111,0.812476357508855,0.7739161642262418
"frozenset({'passing_Ast_category=High', 'shooting_Expected_xG_category=High'})",frozenset({'passing_xAG_category=High'}),0.20557491289198607,0.313588850174216,0.18118466898954705,0.8813559322033898,2.810546139359699,1.0,0.11671866843108453,5.785465405674464,0.8108974358974359,0.5360824742268042,0.8271530585907253,0.7295668549905838
"frozenset({'passing_Ast_category=High', 'shooting_Expected_xG_category=High'})",frozenset({'shooting_Standard_Gls_category=High'}),0.20557491289198607,0.3153310104529617,0.18118466898954705,0.8813559322033898,2.795018260136717,1.0,0.1163605239835375,5.770781483325037,0.8084092442645073,0.5333333333333333,0.826713244490447,0.7279707837812529
